brand,color,desc,retailPrice,title
Influence,blue/white,Dress by Influence    The scroll is overStripe printSpread collarButton placketShort sleevesButton cuffsTiered skirtRegular fitTrue to size,32,Influence mini shirt dress in blue and white stripe
Stradivarius,blues,Dress by Stradivarius    Our kind of flowers All-over floral printSpread collar Button placketSleeveless styleRuffle trims Tiered hemSmock style Relaxed fit Loose cut ,18.9,Stradivarius sleeveless shirt dress in blue floral
ASOS DESIGN,mocha,Midi dress by ASOS DESIGN    Part of our responsible editPlain designCowl neckFixed cami strapsBody-Conscious fitFigure-hugging cut,10.5,ASOS DESIGN cami cowl neck midi dress in mocha
Wednesday's Girl,burgundy floral,Mini dress by Wednesday's Girl    Cute dress Floral design V-neck with tie detailLong sleevesRuched panel to bustRegular fitTrue to sizeExclusive to ASOS,20,Wednesday's Girl mini tea dress with ruched front in ditsy floral
ASOS DESIGN,blue/white gingham,Mini dress by ASOS DESIGN    Crack the dress codeCheck designSquare neckFixed strapsRuffle trimsBody-Conscious fitFigure-hugging cut,25.2,ASOS DESIGN shirred body-conscious mini sundress in pastel gingham
Lola May,pink,Dress by Lola May    Worn and shot by one of our models at home Polo collarPartial button placketDrop shouldersRelaxed fitLoose cut#AtHomeWithASOS ,26,Lola May long sleeve polo shirt dress in pink
ASOS DESIGN,mocha,Midi dress by ASOS DESIGN    This dress deserves a night outRuched designHalterneck styleKeyhole frontOpen backBody-Conscious fitFigure-hugging cut,18,ASOS DESIGN halter super ruched key hole midi dress in mocha
Influence,blue multi,"Dress by Influence    Brunch, anyone?Floral design Crew neck Puff sleevesElasticated waistButton-keyhole backTiered skirtRegular fitTrue to size",40,Influence puff sleeve cotton poplin midi dress in floral print
ASOS DESIGN,mixed ditsy floral,"Mini dress by ASOS DESIGN    Part of our responsible edit Shirred, stretch designMixed floral print V-neckAdjustable tie straps Frill trim Regular fit True to size ",32,ASOS DESIGN shirred mini sundress in mixed floral print
ASOS Curve,black,Plus-size dress by ASOS DESIGN          Cute topCrew neckShort sleeves with lace trimsOversized fitRelaxed and roomy ,20.8,ASOS DESIGN Curve oversized lace t-shirt dress in black
ASOS DESIGN,white,Dress by ASOS DESIGN    Part of our responsible edit Tiered design Sleeveless styleV-neckAdjustable cami straps Button placketTie back Regular fit True to size ,32,ASOS DESIGN button through tiered cami midi sundress in white
New Look,black pattern,Mini dress by New Look    Your new favorite dress Printed design     V-neck    Short sleeves    Tie cuffsRegular fitTrue to size,15.3,New Look tie sleeve mini dress in black pattern
Lola May,black,Dress by Lola May    Your new favorite dress    V-neck    Volume sleevesElasticated cuffsTie back    Tiered hemRelaxed fitLoose cut,24.8,Lola May tiered dress with volume sleeves in black
Rhythm,cream,Dress by Rhythm    Add-to-bag material V-neckShort sleevesWrap frontTie waistRegular fitTrue to size,53.2,Rhythm Sofia wrap front dress in sand
ASOS DESIGN,forest green,Midi dress by ASOS DESIGN     Crack the dress codePlain designRound neckLong sleevesKeyhole backSmock styleRegular fitTrue to size,28.8,ASOS DESIGN long sleeve tiered smock midi dress in forest green
In The Style,black,Dress by In The Style    Collaboration with Lorna LuxeRound neckThree-quarter-length sleevesRuffle trims    Regular fitTrue to sizes,25.2,In The Style x Lorna Luxe frill detail skater dress in black
ASOS Tall,gold,Tall dress by ASOS DESIGN    The scroll is over     V-neckOne-sleeve design     Wrap frontTwist detail Thigh split     Zip-back fastening Regular fitTrue to size,32,ASOS DESIGN Tall one sleeve twist high slit midi dress in gold
ASOS Curve,pine green,Plus-size dress by ASOS DESIGN    Part of our responsible editTiered designCrew neckShort sleevesSmock styleRegular fitTrue to size,25.6,ASOS DESIGN Curve tiered smock t-shirt midi dress in pine green
In The Style,blue,Dress by In The Style    Collaboration with influencer Lorna LuxeV-neckPuff sleeves    Elasticated cuffs Smock styleRegular fitTrue to size,44.8,In The Style x Lorna Luxe poplin ruched detail smock dress in blue
ASOS DESIGN,black,Mini dress by ASOS DESIGN    The scroll is overRuched design Bardot neckOff-shoulder styleFlared sleevesBody-Conscious fitFigure-hugging cut,14.3,ASOS DESIGN ruched off shoulder front flare sleeve mini dress in black
Wednesday's Girl,black dots,Dress by Wednesday's Girl    Crack the dress codePolka-dot printButton-keyhole backPeplum hemSmock styleRegular fitTrue to sizeExclusive to ASOS,10.15,Wednesday's Girl mini smock dress with peplum hem in smudge polka dot 
Brave Soul,black,Dress by Brave Soul    The scroll is over     High neck    Long sleeves    Smock styleRegular fitTrue to size,10.8,Brave Soul lizzie high neck smock dress in black
